Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
15-07-02_00,16.7,20.6,18.3,0.0,183.0,3.0
15-07-03_00,13.4,22.3,17.9,0.0,267.0,5.0
15-07-04_00,15.4,24.1,20.0,0.0,264.0,4.0
15-07-05_00,16.6,25.0,21.0,0.0,199.0,2.0
15-07-06_00,18.3,26.8,22.7,0.0,270.0,3.0
15-07-07_00,20.0,28.7,24.2,0.0,201.0,2.0
15-07-08_00,,,,0.0,,
15-07-09_00,,,,0.0,,
15-07-10_00,,,,0.0,,
15-07-11_00,,,,0.0,,
15-07-12_00,,,,0.0,,
15-07-13_00,,,,0.0,,
15-07-14_00,,,,0.0,,
15-07-15_00,19.5,26.8,24.2,0.0,233.0,2.0
15-07-16_00,13.6,23.2,17.9,0.0,179.0,3.0
15-07-17_00,13.9,24.1,19.1,0.0,229.0,2.0
15-07-18_00,16.1,24.2,20.5,0.0,157.0,3.0
15-07-19_00,18.0,24.9,21.4,0.0,227.0,2.0
15-07-20_00,20.4,28.0,23.6,0.0,195.0,2.0
15-07-21_00,20.1,26.9,23.7,0.0,246.0,3.0
15-07-22_00,19.0,24.0,21.5,0.0,245.0,3.0
15-07-23_00,16.8,21.8,19.4,0.0,286.0,3.0
15-07-24_00,16.1,24.3,20.0,0.0,286.0,4.0
15-07-25_00,17.4,23.7,20.4,0.0,266.0,2.0
15-07-26_00,14.8,25.8,20.5,0.0,147.0,2.0
15-07-27_00,19.2,27.7,23.0,0.0,228.0,2.0
15-07-28_00,20.3,29.3,24.4,0.0,206.0,2.0
15-07-29_00,20.6,30.7,25.7,0.0,223.0,2.0
15-07-30_00,23.1,32.2,27.6,0.0,238.0,2.0
15-07-31_00,22.7,28.3,25.6,0.0,221.0,3.0
15-08-01_00,19.7,26.4,22.7,0.0,256.0,4.0
15-08-02_00,18.4,24.3,20.5,0.0,262.0,4.0
15-08-03_00,16.9,27.4,21.9,0.0,233.0,3.0
15-08-04_00,20.6,25.0,22.7,0.0,231.0,3.0
15-08-05_00,17.5,24.6,21.6,0.0,255.0,4.0
15-08-06_00,16.7,22.9,19.4,0.0,269.0,4.0
15-08-07_00,15.6,21.8,18.6,0.0,282.0,4.0
15-08-08_00,15.0,21.9,18.8,0.0,228.0,2.0
15-08-09_00,15.4,24.5,20.2,0.0,136.0,2.0
15-08-10_00,15.9,25.8,20.7,0.0,145.0,2.0
15-08-11_00,17.0,27.1,21.8,0.0,162.0,2.0
15-08-12_00,17.3,21.2,19.4,0.0,168.0,2.0
15-08-13_00,18.0,22.7,19.8,0.0,273.0,3.0
15-08-14_00,16.5,22.9,19.1,0.0,265.0,3.0
15-08-15_00,17.1,24.8,20.8,0.0,219.0,3.0
15-08-16_00,20.6,28.6,24.1,0.0,221.0,1.0
15-08-17_00,21.0,29.9,25.1,0.0,234.0,2.0
15-08-18_00,22.6,31.3,26.5,0.0,246.0,3.0
15-08-19_00,22.4,30.8,27.0,0.0,199.0,2.0
15-08-20_00,22.4,30.5,26.3,0.0,158.0,2.0
15-08-21_00,24.0,30.4,26.7,0.0,138.0,4.0
15-08-22_00,18.0,26.1,21.9,0.0,240.0,3.0
15-08-23_00,18.3,25.8,21.9,0.0,233.0,1.0
15-08-24_00,18.8,27.5,23.2,0.0,138.0,1.0
15-08-25_00,19.3,27.8,23.4,0.0,168.0,3.0
15-08-26_00,17.3,26.6,21.3,0.0,201.0,2.0
15-08-27_00,17.0,22.8,19.6,0.0,264.0,3.0
15-08-28_00,16.6,22.2,19.0,0.0,271.0,3.0
15-08-29_00,15.4,22.3,18.9,0.0,276.0,3.0
15-08-30_00,16.6,23.5,19.9,0.0,255.0,3.0
15-08-31_00,20.0,20.3,20.1,0.0,245.0,2.0
15-09-01_00,20.8,25.0,23.1,0.0,278.0,5.0
15-09-02_00,17.8,27.2,22.8,0.0,184.0,2.0
15-09-03_00,19.8,26.2,22.8,0.0,257.0,3.0
15-09-04_00,20.7,26.9,24.0,0.0,139.0,3.0
15-09-05_00,15.4,25.7,20.4,0.0,80.0,3.0
15-09-06_00,16.0,28.2,22.2,0.0,173.0,1.0
15-09-07_00,19.8,30.4,25.3,0.0,182.0,2.0
15-09-08_00,22.1,31.3,26.3,0.0,243.0,4.0
15-09-09_00,22.0,28.0,24.5,0.0,194.0,2.0
15-09-10_00,21.5,27.5,24.4,0.0,237.0,3.0
15-09-11_00,18.0,23.5,21.0,0.0,177.0,2.0
15-09-12_00,15.3,25.6,21.0,0.0,213.0,2.0
15-09-13_00,15.4,20.3,17.4,0.0,151.0,2.0
15-09-14_00,15.2,19.0,16.4,0.0,134.0,2.0
15-09-15_00,14.5,20.6,17.4,0.0,275.0,4.0
15-09-16_00,15.5,25.7,20.7,0.0,261.0,4.0
15-09-17_00,18.7,28.2,23.2,0.0,240.0,3.0
15-09-18_00,20.0,27.9,23.5,0.0,251.0,3.0
15-09-19_00,19.0,28.5,24.0,0.0,238.0,3.0
15-09-20_00,20.1,27.5,23.1,0.0,185.0,3.0
15-09-21_00,12.3,19.0,15.0,0.0,280.0,3.0
15-09-22_00,11.8,21.2,16.8,0.0,166.0,1.0
15-09-23_00,14.3,22.4,18.3,0.0,145.0,2.0
15-09-24_00,15.3,23.9,19.3,0.0,245.0,2.0
15-09-25_00,13.8,19.0,16.5,0.0,140.0,2.0
15-09-26_00,10.8,15.5,13.0,0.0,99.0,2.0
15-09-27_00,7.7,18.1,13.0,0.0,148.0,1.0
15-09-28_00,10.7,22.6,16.4,0.0,177.0,2.0
15-09-29_00,15.5,21.3,18.2,0.0,222.0,2.0
15-09-30_00,13.3,24.9,19.2,0.0,183.0,2.0
15-10-01_00,9.4,13.3,11.4,0.0,93.0,4.0
15-10-02_00,5.5,14.2,9.7,0.0,134.0,4.0
15-10-03_00,5.0,12.8,8.9,0.0,105.0,4.0
15-10-04_00,4.9,12.7,8.6,0.0,63.0,5.0
15-10-05_00,5.2,8.2,6.7,0.0,59.0,3.0
15-10-06_00,,,,0.0,,
15-10-07_00,,,,0.0,,
15-10-08_00,,,,0.0,,
15-10-09_00,8.3,12.5,10.5,0.0,172.0,2.0
15-10-10_00,5.2,8.8,7.0,0.0,182.0,2.0
15-10-11_00,3.5,9.6,7.2,0.0,258.0,3.0
15-10-12_00,7.9,17.6,13.2,0.0,235.0,3.0
