Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
14-10-20_00,4.8,9.5,6.4,0.0,289.0,3.0
14-10-21_00,2.9,7.0,4.9,0.0,251.0,2.0
14-10-22_00,5.8,8.1,6.9,0.0,69.0,3.0
14-10-23_00,7.1,12.6,8.9,0.0,63.0,4.0
14-10-24_00,6.8,8.8,7.7,0.0,65.0,4.0
14-10-25_00,7.6,13.0,10.2,0.0,214.0,3.0
14-10-26_00,7.6,13.5,10.6,0.0,214.0,3.0
14-10-27_00,7.6,10.1,8.9,0.0,279.0,5.0
14-10-28_00,6.2,11.2,8.6,0.0,262.0,4.0
14-10-29_00,6.9,15.0,10.5,0.0,122.0,2.0
14-10-30_00,9.6,15.7,12.8,0.0,252.0,3.0
14-10-31_00,5.3,9.6,7.1,0.0,279.0,3.0
14-11-01_00,3.9,7.4,5.3,0.0,139.0,2.0
14-11-02_00,3.1,6.3,4.6,0.0,92.0,4.0
14-11-03_00,0.8,7.6,3.7,0.0,218.0,4.0
14-11-04_00,-0.6,7.4,3.2,0.0,285.0,4.0
14-11-05_00,6.4,13.1,8.4,0.0,162.0,2.0
14-11-06_00,8.4,12.6,10.6,0.0,236.0,3.0
14-11-07_00,5.6,9.7,7.4,0.0,208.0,3.0
14-11-08_00,1.9,6.1,3.5,0.0,201.0,4.0
14-11-09_00,-1.2,4.2,1.0,0.0,267.0,3.0
14-11-10_00,2.6,6.3,4.6,0.0,215.0,3.0
14-11-11_00,3.7,7.3,5.8,0.0,191.0,2.0
14-11-12_00,2.7,13.0,6.4,0.0,131.0,2.0
14-11-13_00,2.5,8.2,5.0,0.0,215.0,4.0
14-11-14_00,0.9,4.1,2.5,0.0,260.0,4.0
14-11-15_00,-2.7,1.3,-0.4,0.0,280.0,4.0
14-11-16_00,-3.8,1.1,-1.2,0.0,266.0,3.0
14-11-17_00,-1.0,3.7,1.3,0.0,229.0,2.0
14-11-18_00,-0.1,2.1,0.9,0.0,146.0,2.0
14-11-19_00,-4.4,2.0,-2.5,0.0,254.0,5.0
14-11-20_00,-6.8,-1.9,-4.3,0.0,241.0,4.0
14-11-21_00,-4.6,0.2,-2.0,0.0,218.0,4.0
14-11-22_00,-6.5,-3.9,-5.5,0.0,276.0,5.0
14-11-23_00,-5.5,3.6,-0.7,0.0,223.0,3.0
14-11-24_00,3.6,8.2,5.5,0.0,197.0,3.0
14-11-25_00,6.7,17.2,12.1,0.0,168.0,4.0
14-11-26_00,2.8,10.6,6.5,0.0,253.0,5.0
14-11-27_00,-0.1,2.8,0.8,0.0,167.0,3.0
14-11-28_00,-2.5,0.5,-1.3,0.0,224.0,2.0
14-11-29_00,-5.9,-2.0,-4.2,0.0,227.0,3.0
14-11-30_00,-6.5,-0.4,-3.3,0.0,173.0,3.0
14-12-01_00,-0.5,6.8,3.8,0.0,172.0,3.0
14-12-02_00,-7.2,7.4,1.1,0.0,276.0,4.0
14-12-03_00,-14.3,-6.0,-10.8,0.0,126.0,3.0
14-12-04_00,-6.0,4.1,1.5,0.0,208.0,4.0
14-12-05_00,-10.3,0.5,-5.7,0.0,259.0,4.0
14-12-06_00,-11.8,-4.6,-8.2,0.0,92.0,2.0
14-12-07_00,-4.8,-0.3,-2.7,0.0,239.0,1.0
14-12-08_00,-11.8,0.1,-7.2,0.0,214.0,3.0
