,0,1,2,3,4
44,1.0,18.0,0.0,-0.4779098331928253,1.9101728200912476
45,1.0,17.0,0.0,-0.4779098331928253,1.9101728200912476
46,1.0,16.0,0.0,-0.4779098331928253,1.9101728200912476
47,1.0,15.0,0.0,-0.4779098331928253,1.9101728200912476
48,1.0,14.0,0.0,-0.4779098331928253,1.9101728200912476
49,1.0,13.0,0.0,-0.4779098331928253,1.9101728200912476
50,1.0,12.0,0.0,-0.4779098331928253,1.9101728200912476
51,1.0,11.0,0.0,-0.4779098331928253,1.9101728200912476
52,1.0,10.0,0.0,-0.4779098331928253,1.9101728200912476
53,1.0,9.0,0.0,-0.4779098331928253,1.9101728200912476
54,1.0,8.0,0.0,-0.4779098331928253,1.9101728200912476
55,1.0,7.0,0.0,-0.4779098331928253,1.9101728200912476
56,1.0,6.0,0.0,-0.4779098331928253,1.9101728200912476
57,1.0,5.0,0.0,-0.4779098331928253,1.9101728200912476
58,1.0,4.0,0.0,-0.4779098331928253,1.9101728200912476
59,1.0,3.0,0.0,-0.4779098331928253,1.9101728200912476
60,1.0,2.0,0.0,-0.4779098331928253,1.9101728200912476
61,1.0,1.0,0.0,-0.4779098331928253,1.9101728200912476
62,2.0,31.0,0.0,-0.4779098331928253,1.9101728200912476
63,2.0,30.0,0.0,-0.4779098331928253,1.9101728200912476
64,2.0,29.0,0.0,-0.4779098331928253,1.9101728200912476
65,2.0,28.0,0.0,-0.4779098331928253,1.9101728200912476
66,2.0,27.0,0.0,-0.4779098331928253,1.9101728200912476
67,2.0,26.0,0.0,-0.4779098331928253,1.9101728200912476
68,2.0,25.0,0.0,-0.4779098331928253,1.9101728200912476
69,2.0,24.0,0.0,-0.4779098331928253,1.9101728200912476
70,2.0,23.0,0.0,-0.4779098331928253,1.9101728200912476
71,2.0,22.0,0.0,-0.4779098331928253,1.9101728200912476
72,2.0,21.0,0.0,-0.4779098331928253,1.9101728200912476
73,2.0,20.0,0.0,-0.4779098331928253,1.9101728200912476
74,2.0,19.0,0.0,-0.4779098331928253,1.9101728200912476
75,2.0,18.0,0.0,-0.4779098331928253,1.9101728200912476
76,2.0,17.0,0.0,-0.4779098331928253,1.9101728200912476
77,2.0,16.0,0.0,-0.4779098331928253,1.9101728200912476
78,2.0,15.0,0.0,-0.4779098331928253,1.9101728200912476
79,2.0,14.0,0.0,-0.4779098331928253,1.9101728200912476
80,2.0,13.0,0.0,-0.4779098331928253,1.9101728200912476
81,2.0,12.0,0.0,-0.4779098331928253,1.9101728200912476
82,2.0,11.0,0.0,-0.4779098331928253,1.9101728200912476
83,2.0,10.0,0.0,-0.4779098331928253,1.9101728200912476
84,2.0,9.0,0.0,-0.4779098331928253,1.9101728200912476
85,2.0,8.0,0.0,-0.4779098331928253,1.9101728200912476
86,2.0,7.0,0.0,-0.4779098331928253,1.9101728200912476
87,2.0,6.0,0.0,-0.4779098331928253,1.9101728200912476
88,2.0,5.0,0.0,-0.4779098331928253,1.9101728200912476
89,2.0,4.0,0.0,-0.4779098331928253,1.9101728200912476
90,2.0,3.0,0.0,-0.4779098331928253,1.9101728200912476
91,2.0,2.0,0.0,-0.4779098331928253,1.9101728200912476
92,2.0,1.0,0.0,-0.4779098331928253,1.9101728200912476
93,3.0,31.0,0.0,-0.4779098331928253,1.9101728200912476
94,3.0,30.0,0.0,-0.4779098331928253,1.9101728200912476
95,3.0,29.0,0.0,-0.4779098331928253,1.9101728200912476
96,3.0,28.0,0.0,-0.4779098331928253,1.9101728200912476
97,3.0,27.0,0.0,-0.4779098331928253,1.9101728200912476
98,3.0,26.0,0.0,-0.4779098331928253,1.9101728200912476
99,3.0,25.0,0.0,-0.4779098331928253,1.9101728200912476
100,3.0,24.0,0.0,-0.4779098331928253,1.9101728200912476
101,3.0,23.0,0.0,-0.4779098331928253,1.9101728200912476
102,3.0,22.0,0.0,-0.4779098331928253,1.9101728200912476
103,3.0,21.0,0.0,-0.4779098331928253,1.9101728200912476
104,3.0,20.0,0.0,-0.4779098331928253,1.9101728200912476
105,3.0,19.0,0.0,-0.4779098331928253,1.9101728200912476
106,3.0,18.0,0.0,-0.4779098331928253,1.9101728200912476
107,3.0,17.0,0.0,-0.4779098331928253,1.9101728200912476
108,3.0,16.0,0.0,-0.4779098331928253,1.9101728200912476
109,3.0,15.0,0.0,-0.4779098331928253,1.9101728200912476
110,3.0,14.0,0.0,-0.4779098331928253,1.9101728200912476
111,3.0,13.0,0.0,-0.4779098331928253,1.9101728200912476
112,3.0,12.0,0.0,-0.4779098331928253,1.9101728200912476
113,3.0,11.0,0.0,-0.4779098331928253,1.9101728200912476
114,3.0,10.0,0.0,-0.4779098331928253,1.9101728200912476
115,3.0,9.0,0.0,-0.4779098331928253,1.9101728200912476
116,3.0,8.0,0.0,-0.4779098331928253,1.9101728200912476
117,3.0,7.0,0.0,-0.4779098331928253,1.9101728200912476
118,3.0,6.0,0.0,-0.4779098331928253,1.9101728200912476
119,3.0,5.0,0.0,-0.4779098331928253,1.9101728200912476
120,3.0,4.0,0.0,-0.4779098331928253,1.9101728200912476
121,3.0,3.0,0.0,-0.4779098331928253,1.9101728200912476
122,3.0,2.0,0.0,-0.4779098331928253,1.9101728200912476
123,3.0,1.0,0.0,-0.4779098331928253,1.9101728200912476
124,4.0,31.0,0.0,-0.4779098331928253,1.9101728200912476
125,4.0,30.0,0.0,-0.4779098331928253,1.9101728200912476
126,4.0,29.0,0.0,-0.4779098331928253,1.9101728200912476
127,4.0,28.0,0.0,-0.4779098331928253,1.9101728200912476
128,4.0,27.0,0.0,-0.4779098331928253,1.9101728200912476
129,4.0,26.0,0.0,-0.4779098331928253,1.9101728200912476
130,4.0,25.0,0.0,-0.4779098331928253,1.9101728200912476
131,4.0,24.0,0.0,-0.4779098331928253,1.9101728200912476
132,4.0,23.0,0.0,-0.4779098331928253,1.9101728200912476
133,4.0,22.0,0.0,-0.4779098331928253,1.9101728200912476
134,4.0,21.0,0.0,-0.4779098331928253,1.9101728200912476
135,4.0,20.0,0.0,-0.4779098331928253,1.9101728200912476
136,4.0,19.0,0.0,-0.4779098331928253,1.9101728200912476
137,4.0,18.0,0.0,-0.4779098331928253,1.9101728200912476
138,4.0,17.0,0.0,-0.4779098331928253,1.9101728200912476
139,4.0,16.0,0.0,-0.4779098331928253,1.9101728200912476
140,4.0,15.0,0.0,-0.4779098331928253,1.9101728200912476
141,4.0,14.0,0.0,-0.4779098331928253,1.9101728200912476
142,4.0,13.0,0.0,-0.4779098331928253,1.9101728200912476
143,4.0,12.0,0.0,-0.4779098331928253,1.9101728200912476
144,4.0,11.0,0.0,-0.4779098331928253,1.9101728200912476
145,4.0,10.0,0.0,-0.4779098331928253,1.9101728200912476
146,4.0,9.0,0.0,-0.4779098331928253,1.9101728200912476
147,4.0,8.0,0.0,-0.4779098331928253,1.9101728200912476
148,4.0,7.0,0.0,-0.4779098331928253,1.9101728200912476
